"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","E00060435","E00060435",290,290,0
"2021","E00060420","E00060420",313,313,0
"2021","E00060423","E00060423",285,285,0
"2021","E00060431","E00060431",452,452,0
"2021","E00060432","E00060432",348,348,0
"2021","E00060433","E00060433",365,314,51
"2021","E00060439","E00060439",275,275,0
"2021","E00060440","E00060440",163,163,0
"2021","E00060441","E00060441",291,291,0
"2021","E00060443","E00060443",260,260,0
"2021","E00060453","E00060453",227,227,0
"2021","E00060436","E00060436",260,260,0
"2021","E00060437","E00060437",281,281,0
"2021","E00060442","E00060442",293,293,0
"2021","E00060444","E00060444",429,389,40
"2021","E00060456","E00060456",267,267,0
"2021","E00060457","E00060457",156,156,0
"2021","E00060458","E00060458",326,326,0
"2021","E00060468","E00060468",494,440,54
"2021","E00060469","E00060469",239,239,0
"2021","E00060470","E00060470",308,308,0
"2021","E00060454","E00060454",321,321,0
"2021","E00060455","E00060455",247,247,0
"2021","E00060459","E00060459",305,305,0
"2021","E00060460","E00060460",307,307,0
"2021","E00060461","E00060461",447,447,0
"2021","E00060467","E00060467",268,268,0
"2021","E00060463","E00060463",304,304,0
"2021","E00060464","E00060464",313,309,4
"2021","E00060465","E00060465",278,278,0
"2021","E00060466","E00060466",279,279,0
"2021","E00188199","E00188199",306,306,0
"2021","E00188305","E00188305",342,342,0
"2021","E00060494","E00060494",240,240,0
"2021","E00060498","E00060498",322,322,0
"2021","E00060499","E00060499",275,275,0
"2021","E00174089","E00174089",456,456,0
"2021","E00060496","E00060496",315,270,45
"2021","E00060497","E00060497",252,252,0
"2021","E00060509","E00060509",302,286,16
"2021","E00060512","E00060512",283,269,14
"2021","E00060513","E00060513",230,228,2
"2021","E00060502","E00060502",253,253,0
"2021","E00060503","E00060503",615,615,0
"2021","E00060505","E00060505",222,222,0
"2021","E00060507","E00060507",247,247,0
"2021","E00174096","E00174096",266,266,0
"2021","E00174104","E00174104",307,307,0
"2021","E00060495","E00060495",263,263,0
"2021","E00060500","E00060500",260,260,0
"2021","E00060501","E00060501",280,247,33
"2021","E00060504","E00060504",588,588,0
"2021","E00188226","E00188226",227,227,0
"2021","E00188269","E00188269",268,268,0
"2021","E00188271","E00188271",283,283,0
"2021","E00060317","E00060317",242,242,0
"2021","E00060321","E00060321",328,328,0
"2021","E00060325","E00060325",279,279,0
"2021","E00060329","E00060329",238,238,0
"2021","E00060336","E00060336",310,310,0
"2021","E00060318","E00060318",325,325,0
"2021","E00060319","E00060319",329,329,0
"2021","E00060322","E00060322",284,284,0
"2021","E00060328","E00060328",226,226,0
"2021","E00060331","E00060331",263,263,0
"2021","E00060401","E00060401",306,306,0
"2021","E00060402","E00060402",277,277,0
"2021","E00060404","E00060404",288,288,0
"2021","E00060414","E00060414",251,251,0
"2021","E00060415","E00060415",304,303,1
"2021","E00060416","E00060416",291,291,0
"2021","E00060403","E00060403",265,265,0
"2021","E00060408","E00060408",391,391,0
"2021","E00060409","E00060409",316,316,0
"2021","E00060411","E00060411",325,273,52
"2021","E00060412","E00060412",213,213,0
"2021","E00060413","E00060413",126,126,0
"2021","E00060400","E00060400",285,285,0
"2021","E00060405","E00060405",310,310,0
"2021","E00060406","E00060406",323,323,0
"2021","E00060407","E00060407",260,260,0
"2021","E00060410","E00060410",319,319,0
"2021","E00060311","E00060311",312,312,0
"2021","E00060312","E00060312",301,301,0
"2021","E00060313","E00060313",193,193,0
"2021","E00060315","E00060315",246,246,0
"2021","E00060316","E00060316",565,565,0
"2021","E00188179","E00188179",379,328,51
"2021","E00188246","E00188246",466,466,0
"2021","E00188283","E00188283",396,396,0
"2021","E00060330","E00060330",289,289,0
"2021","E00060332","E00060332",265,265,0
"2021","E00060333","E00060333",247,247,0
"2021","E00060334","E00060334",254,254,0
"2021","E00060335","E00060335",230,230,0
"2021","E00060320","E00060320",267,267,0
"2021","E00060323","E00060323",321,321,0
"2021","E00060324","E00060324",285,285,0
"2021","E00060326","E00060326",261,261,0
"2021","E00060327","E00060327",262,262,0
"2021","E00060355","E00060355",257,257,0
"2021","E00060356","E00060356",283,283,0
"2021","E00060357","E00060357",298,298,0
"2021","E00060358","E00060358",301,279,22
"2021","E00060359","E00060359",274,274,0
"2021","E00060360","E00060360",274,274,0
"2021","E00060361","E00060361",252,252,0
"2021","E00060428","E00060428",359,359,0
"2021","E00060429","E00060429",300,300,0
"2021","E00060430","E00060430",280,280,0
"2021","E00188288","E00188288",392,392,0
"2021","E00188302","E00188302",358,358,0
"2021","E00060536","E00060536",330,330,0
"2021","E00060537","E00060537",254,254,0
"2021","E00060543","E00060543",315,315,0
"2021","E00060546","E00060546",235,235,0
"2021","E00060549","E00060549",520,520,0
"2021","E00060535","E00060535",279,279,0
"2021","E00060541","E00060541",311,311,0
"2021","E00060553","E00060553",417,417,0
"2021","E00174090","E00174090",281,281,0
"2021","E00174091","E00174091",295,295,0
"2021","E00174103","E00174103",288,288,0
"2021","E00060338","E00060338",332,332,0
"2021","E00060339","E00060339",303,303,0
"2021","E00060347","E00060347",299,299,0
"2021","E00060349","E00060349",302,302,0
"2021","E00060352","E00060352",381,359,22
"2021","E00060341","E00060341",287,287,0
"2021","E00060342","E00060342",277,277,0
"2021","E00060343","E00060343",173,173,0
"2021","E00060344","E00060344",304,304,0
"2021","E00060345","E00060345",262,262,0
"2021","E00060386","E00060386",147,144,3
"2021","E00060387","E00060387",213,213,0
"2021","E00060390","E00060390",287,287,0
"2021","E00174083","E00174083",157,154,3
"2021","E00174084","E00174084",162,162,0
"2021","E00174085","E00174085",180,180,0
"2021","E00174086","E00174086",256,256,0
"2021","E00174087","E00174087",104,104,0
"2021","E00060381","E00060381",164,164,0
"2021","E00060385","E00060385",241,241,0
"2021","E00060388","E00060388",157,157,0
"2021","E00060393","E00060393",191,191,0
